product_id,coast_layer_observed,anchorage_layer_observed,fairway_layer_observed
S1A_IW_GRDH_1SDV_20250422T095619_20250422T095644_058868_074BDE_EE82,1,0,1
S1A_IW_GRDH_1SDV_20250504T095619_20250504T095644_059043_0752E1_23FF,1,0,1
S1A_IW_GRDH_1SDV_20250516T095619_20250516T095644_059218_07592B_E377,1,0,1
S1A_IW_GRDH_1SDV_20250528T095618_20250528T095643_059393_075F43_4703,1,0,1
S1A_IW_GRDH_1SDV_20250609T095618_20250609T095643_059568_07653B_64EC,1,0,1
S1A_IW_GRDH_1SDV_20250621T095617_20250621T095642_059743_076B46_1176,1,0,1
S1A_IW_GRDH_1SDV_20250715T095616_20250715T095641_060093_077760_1FAF,1,0,1
S1A_IW_GRDH_1SDV_20250808T095615_20250808T095640_060443_078391_9942,1,0,1
S1A_IW_GRDH_1SDV_20250820T095615_20250820T095640_060618_078A74_3D5A,1,0,1
S1A_IW_GRDH_1SDV_20250901T095616_20250901T095641_060793_079158_54A8,1,0,1
S1A_IW_GRDH_1SDV_20250925T095616_20250925T095641_061143_079F62_D4E3,1,0,1
S1A_IW_GRDH_1SDV_20251007T095617_20251007T095642_061318_07A66F_2CB9,1,0,1
S1A_IW_GRDH_1SDV_20251019T095616_20251019T095641_061493_07AD75_3A90,1,0,1
S1A_IW_GRDH_1SDV_20251031T095616_20251031T095641_061668_07B482_0BCC,1,0,1
S1A_IW_GRDH_1SDV_20251112T095615_20251112T095640_061843_07BB43_DBA5,1,0,1
S1A_IW_GRDH_1SDV_20251124T095615_20251124T095640_062018_07C214_78ED,1,0,1
S1A_IW_GRDH_1SDV_20251206T095613_20251206T095638_062193_07C8EB_13B5,1,0,1
S1A_IW_GRDH_1SDV_20251218T095612_20251218T095637_062368_07CFBE_D9B3,1,0,1
S1A_IW_GRDH_1SDV_20251230T095611_20251230T095636_062543_07D685_8E60,1,0,1
S1C_IW_GRDH_1SDV_20251025T215643_20251025T215708_004724_00954D_12A7,1,0,1
S1A_IW_GRDH_1SDV_20250327T163005_20250327T163030_058492_073C79_EAA7,1,0,0
S1A_IW_GRDH_1SDV_20250502T163006_20250502T163031_059017_0751E2_680E,1,0,0
S1A_IW_GRDH_1SDV_20250526T163005_20250526T163030_059367_075E5F_4FCB,1,0,0
S1A_IW_GRDH_1SDV_20250607T163005_20250607T163030_059542_076467_C24A,1,0,0
S1A_IW_GRDH_1SDV_20250619T163004_20250619T163029_059717_076A60_94E5,1,0,0
S1A_IW_GRDH_1SDV_20250713T163003_20250713T163028_060067_07767F_5920,1,0,0
S1A_IW_GRDH_1SDV_20250725T163002_20250725T163027_060242_077C8C_6445,1,0,0
S1A_IW_GRDH_1SDV_20250911T163003_20250911T163028_060942_079755_9E0D,1,0,0
S1A_IW_GRDH_1SDV_20251216T162959_20251216T163024_062342_07CECD_EF29,1,0,0
S1C_IW_GRDH_1SDV_20250920T031050_20250920T031118_004202_008574_3319,1,0,0
S1C_IW_GRDH_1SDV_20251002T031050_20251002T031117_004377_008ACD_BFF1,1,0,0
S1C_IW_GRDH_1SDV_20251119T031050_20251119T031117_005077_00A0F4_F122,1,0,0
S1A_IW_GRDH_1SDV_20250112T055841_20250112T055906_057407_07110D_854D,1,0,0
S1A_IW_GRDH_1SDV_20250217T055839_20250217T055904_057932_0725F5_9F4A,1,0,0
S1A_IW_GRDH_1SDV_20250418T055840_20250418T055905_058807_074958_2BFC,1,0,0
