fold,pseudo_target,intervention,seed,changed,delta_BA
Fujairah,Shanghai,permute_joint,20260928,23799,-0.008907936327999633
Fujairah,Shanghai,permute_joint,20260929,23800,-0.007757998220649542
Fujairah,Shanghai,permute_joint,20260930,23753,-0.0005926545958286344
Fujairah,Shanghai,permute_joint,20260931,23824,-0.012419535337852228
Fujairah,Shanghai,permute_joint,20260932,23805,-0.004816651670055572
Fujairah,Shanghai,permute_joint,20260933,23891,-0.014224938368820772
Fujairah,Shanghai,permute_joint,20260934,23803,-0.017030461845011557
Fujairah,Shanghai,permute_joint,20260935,23758,-0.01568879316249
Fujairah,Shanghai,permute_joint,20260936,23776,-0.011790264719705013
Fujairah,Shanghai,permute_joint,20260937,23767,-0.011221105376748863
Fujairah,Shanghai,permute_joint,20260938,23882,-0.020924702167980203
Fujairah,Shanghai,permute_joint,20260939,23891,-0.009544879003158868
JebelAli,Shanghai,permute_D0,20260920,10224,-0.00442199282524347
JebelAli,Shanghai,permute_D0,20260921,10196,-0.003655709300339205
JebelAli,Shanghai,permute_D0,20260922,10249,-0.004892988749786498
JebelAli,Shanghai,permute_D0,20260923,10272,-0.0010774336823096142
JebelAli,Shanghai,permute_D0,20260924,10204,-0.005483563950508752
JebelAli,Shanghai,permute_D0,20260925,10197,-0.006249847475413017
JebelAli,Shanghai,permute_D0,20260926,10236,-0.0047172804256045975
JebelAli,Shanghai,permute_D0,20260927,10187,-0.0015325670498084198
JebelAli,Shanghai,permute_D0,20260928,10253,-0.0022988505747126853
JebelAli,Shanghai,permute_D0,20260929,10252,-0.002123142250530785
JebelAli,Shanghai,permute_D0,20260930,10199,0.00027942504331701645
JebelAli,Shanghai,permute_D0,20260931,10164,-0.005954559875051779
JebelAli,Shanghai,permute_D0,20260932,10244,-0.004142567781926343
JebelAli,Shanghai,permute_D0,20260933,10171,-0.00048685848158713796
JebelAli,Shanghai,permute_D0,20260934,10230,-0.003655709300339205
JebelAli,Shanghai,permute_D0,20260935,10180,-0.002314713131756796
JebelAli,Shanghai,permute_D0,20260936,10191,-0.005954559875051779
JebelAli,Shanghai,permute_D0,20260937,10243,-0.00442199282524347
JebelAli,Shanghai,permute_D0,20260938,10149,-0.0007821460819483761
JebelAli,Shanghai,permute_D0,20260939,10292,-0.0010774336823096142
JebelAli,Shanghai,permute_D1,20260920,0,0.0
JebelAli,Shanghai,permute_D1,20260921,0,0.0
JebelAli,Shanghai,permute_D1,20260922,0,0.0
JebelAli,Shanghai,permute_D1,20260923,0,0.0
JebelAli,Shanghai,permute_D1,20260924,0,0.0
JebelAli,Shanghai,permute_D1,20260925,0,0.0
JebelAli,Shanghai,permute_D1,20260926,0,0.0
JebelAli,Shanghai,permute_D1,20260927,0,0.0
JebelAli,Shanghai,permute_D1,20260928,0,0.0
JebelAli,Shanghai,permute_D1,20260929,0,0.0
JebelAli,Shanghai,permute_D1,20260930,0,0.0
JebelAli,Shanghai,permute_D1,20260931,0,0.0
JebelAli,Shanghai,permute_D1,20260932,0,0.0
JebelAli,Shanghai,permute_D1,20260933,0,0.0
JebelAli,Shanghai,permute_D1,20260934,0,0.0
JebelAli,Shanghai,permute_D1,20260935,0,0.0
JebelAli,Shanghai,permute_D1,20260936,0,0.0
JebelAli,Shanghai,permute_D1,20260937,0,0.0
JebelAli,Shanghai,permute_D1,20260938,0,0.0
JebelAli,Shanghai,permute_D1,20260939,0,0.0
JebelAli,Shanghai,permute_D2,20260920,0,0.0
JebelAli,Shanghai,permute_D2,20260921,0,0.0
JebelAli,Shanghai,permute_D2,20260922,0,0.0
JebelAli,Shanghai,permute_D2,20260923,0,0.0
JebelAli,Shanghai,permute_D2,20260924,0,0.0
JebelAli,Shanghai,permute_D2,20260925,0,0.0
JebelAli,Shanghai,permute_D2,20260926,0,0.0
JebelAli,Shanghai,permute_D2,20260927,0,0.0
JebelAli,Shanghai,permute_D2,20260928,0,0.0
JebelAli,Shanghai,permute_D2,20260929,0,0.0
JebelAli,Shanghai,permute_D2,20260930,0,0.0
JebelAli,Shanghai,permute_D2,20260931,0,0.0
JebelAli,Shanghai,permute_D2,20260932,0,0.0
JebelAli,Shanghai,permute_D2,20260933,0,0.0
JebelAli,Shanghai,permute_D2,20260934,0,0.0
JebelAli,Shanghai,permute_D2,20260935,0,0.0
JebelAli,Shanghai,permute_D2,20260936,0,0.0
JebelAli,Shanghai,permute_D2,20260937,0,0.0
JebelAli,Shanghai,permute_D2,20260938,0,0.0
JebelAli,Shanghai,permute_D2,20260939,0,0.0
JebelAli,Shanghai,permute_D3,20260920,22695,0.0036398467432950943
JebelAli,Shanghai,permute_D3,20260921,22666,0.002873563218390829
JebelAli,Shanghai,permute_D3,20260922,22632,0.0010457085682212819
JebelAli,Shanghai,permute_D3,20260923,22708,-0.0015325670498084198
JebelAli,Shanghai,permute_D3,20260924,22773,0.0012372794494472927
JebelAli,Shanghai,permute_D3,20260925,22642,0.005747126436781547
JebelAli,Shanghai,permute_D3,20260926,22690,0.0018119920931254363
JebelAli,Shanghai,permute_D3,20260927,22611,0.0002952876003611271
JebelAli,Shanghai,permute_D3,20260928,22739,0.005747126436781547
JebelAli,Shanghai,permute_D3,20260929,22657,0.004980842911877392
JebelAli,Shanghai,permute_D3,20260930,22686,0.005747126436781547
JebelAli,Shanghai,permute_D3,20260931,22676,-0.004406130268199138
