fold,held_out_port,statistic,direction,threshold_selected_on_train,train_mean_ba_gain,signal_value,action,ba,acc,cross_ba,mean_ba,oracle_ba,delta_ba,regret_vs_oracle_ba,class_support
Rotterdam,Shanghai,stat_entropy_before,1,0.904444,0.00078786989483981,0.6191195133794573,cross,0.5213571318284888,0.4611673902556681,0.5213571318284888,0.43434575505070716,0.5213571318284888,-0.08701137677778159,0.0,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
PortKlang,Shanghai,stat_entropy_before,1,0.904444,0.00078786989483981,0.5552122203516318,cross,0.4377323791849767,0.5080037664783428,0.4377323791849767,0.27795240345771716,0.4377323791849767,-0.15977997572725955,0.0,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""passenger_ship"": 51, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
Fujairah,Shanghai,stat_entropy_before,1,0.904444,0.00078786989483981,0.5679148391337313,cross,0.33648825383339154,0.35938253738543174,0.33648825383339154,0.2629189405700153,0.33648825383339154,-0.07356931326337623,0.0,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
JebelAli,Shanghai,stat_entropy_before,1,0.904444,0.00078786989483981,0.3227237975915422,cross,0.49031133342278116,0.5166051660516605,0.49031133342278116,0.4299111510904902,0.49031133342278116,-0.06040018233229094,0.0,"{""container_ship"": 895, ""fishing_vessel"": 472, ""tug_towing"": 259}"
PortSaid,Shanghai,stat_entropy_before,1,0.904444,0.00078786989483981,0.6237887173627312,cross,0.34214328577769537,0.36034732272069464,0.34214328577769537,0.28253942967275036,0.34214328577769537,-0.05960385610494501,0.0,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
Rotterdam,Singapore,stat_entropy_before,1,0.671288,-0.002947619855269118,0.9585880799247124,mean,0.575332599657618,0.41379310344827586,0.5635145512350208,0.575332599657618,0.575332599657618,0.01181804842259715,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
PortKlang,Singapore,stat_entropy_before,1,0.671288,-0.002947619855269118,0.9044439685675132,mean,0.4377784970676948,0.27099236641221375,0.691348129126926,0.4377784970676948,0.691348129126926,-0.2535696320592312,0.2535696320592312,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""passenger_ship"": 1, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
Fujairah,Singapore,stat_entropy_before,1,0.671288,-0.002947619855269118,0.48653663740206654,cross,0.6066072389337246,0.4482758620689655,0.6066072389337246,0.328976680620891,0.6066072389337246,-0.27763055831283356,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
PortSaid,Singapore,stat_entropy_before,1,0.671288,-0.002947619855269118,0.6054149676079325,cross,0.6909310344827586,0.5172413793103449,0.6909310344827586,0.46434641002402427,0.6909310344827586,-0.22658462445873434,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
Rotterdam,Jebel Ali,stat_entropy_after,1,0.879909,0.00078786989483981,0.8334163401354383,cross,0.6614156490275893,0.6217765042979942,0.6614156490275893,0.5808005427408414,0.6614156490275893,-0.08061510628674795,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
