fold,ref_port,adapt_port,n_ref,n_adapt,stat_shift_norm,stat_energy_dist,stat_entropy_before,stat_entropy_after,stat_delta_entropy,stat_conf_before,stat_conf_after,stat_delta_conf,delta_acc,delta_ba,cross_acc,mean_acc,cross_ba,mean_ba
JebelAli,Shanghai,Qingdao,1626,2412,19.910709018193288,5.171079864725142,0.4848677892246569,0.5951036725216258,0.11023588329696887,0.7830551883184727,0.7443979806887349,-0.03865720762973779,0.09494195688225537,-0.08551878009293651,0.2943615257048093,0.38930348258706465,0.5448950226339394,0.4593762425410029
PortSaid,Jebel Ali,Qingdao,349,2514,16.969844830200554,5.624421269426021,0.3617088890998034,0.32336464779415974,-0.03834424130564368,0.8646930733221496,0.8837123127090585,0.01901923938690886,-0.08233890214797135,-0.011651202398661353,0.12410501193317422,0.041766109785202864,0.3874874700042952,0.3758362676056338
PortSaid,Jebel Ali,Shanghai,349,2073,5.66784255024113,0.79970369346516,0.3991638099854037,0.35890829269523544,-0.04025551729016824,0.8469563085208768,0.8649286890753216,0.017972380554444833,-0.01640135069946938,-0.007955238247161378,0.16546068499758804,0.14905933429811866,0.23164885248579975,0.22369361423863837
PortSaid,Jebel Ali,Singapore,349,261,7.026620120108706,1.1754314731946423,0.40798872546257314,0.38445006734000253,-0.02353865812257061,0.8314310567278083,0.845289736363223,0.013858679635414761,-0.05747126436781608,-0.02385815602836877,0.3793103448275862,0.3218390804597701,0.4259174542891257,0.4020592982607569
PortSaid,Qingdao,Jebel Ali,2514,349,18.654455999912173,5.626035758874664,0.487060072477594,0.18352939558161258,-0.3035306768959814,0.8077675851982729,0.9380159658248519,0.13024838062657906,-0.04871060171919771,-0.05067842605156042,0.07449856733524356,0.025787965616045846,0.4640117593848938,0.4133333333333334
PortSaid,Qingdao,Shanghai,2514,2073,17.113604366157908,4.597773604317542,0.32463861276662886,0.20593392742203842,-0.11870468534459044,0.8752706848294497,0.9256848812124183,0.050414196382968623,-0.04438012542209363,-0.031237488235594524,0.3859141341051616,0.341534008683068,0.2908785501857181,0.2596410619501236
PortSaid,Qingdao,Singapore,2514,261,22.32376900564524,7.435696964295122,0.4085810335717,0.27174915015372864,-0.13683188341797137,0.8331930587706372,0.8960211977481252,0.06282813897748796,-0.17241379310344826,-0.1294168572784946,0.3333333333333333,0.16091954022988506,0.5168407923697725,0.3874239350912779
PortSaid,Shanghai,Jebel Ali,2073,349,4.886341996621929,0.8048787622611293,0.9577190025054738,0.9468022574153819,-0.010916745090091884,0.5999017690736217,0.6200372447863532,0.020135475712731554,-0.03151862464183383,-0.0010538218000904487,0.18911174785100288,0.15759312320916904,0.3104387155133424,0.30938489371325195
PortSaid,Shanghai,Qingdao,2073,2514,13.426968424823325,4.256570190744959,0.883275570402298,0.9440500924635162,0.06077452206121825,0.6428416898943623,0.6228491785238608,-0.01999251137050151,0.07199681782020684,-0.03056553675046858,0.19013524264120923,0.26213206046141607,0.2826670665106854,0.2521015297602168
PortSaid,Shanghai,Singapore,2073,261,4.832304700461039,0.6747577719308069,0.8497180242258963,0.9336281084212819,0.08391008419538559,0.6692878166880952,0.6284273355526475,-0.04086048113544771,0.0038314176245210774,0.009287442636629117,0.16475095785440613,0.1685823754789272,0.276380130335333,0.2856675729719621
PortSaid,Singapore,Jebel Ali,261,349,5.947449868776566,1.180888814235395,0.5855025673043074,0.5628474623762136,-0.02265510492809375,0.7552158339181413,0.7682392575874639,0.013023423669322631,-0.34097421203438394,-0.06053369516056084,0.6189111747851003,0.27793696275071633,0.7206648575305292,0.6601311623699684
PortSaid,Singapore,Qingdao,261,2514,17.188592129388358,7.433336261751924,0.5192429710919689,0.576890730967024,0.057647759875055105,0.7928785588128481,0.7836338169198593,-0.00924474189298874,-0.48965791567223543,-0.30830130065095623,0.6153540175019888,0.12569610182975338,0.6371140070435565,0.32881270639260024
PortSaid,Singapore,Shanghai,261,2073,4.738221390806986,0.6735591548343258,0.6105859493308956,0.5913663245324919,-0.019219624798403667,0.7309348181047676,0.748981001177484,0.018046183072716437,-0.03666184273999035,-0.021397712482458198,0.22575976845151954,0.1890979257115292,0.2655993261106413,0.2442016136281831
