mmsi,ais_rows,final_class,class_level,source,confidence,type_code,imo,vessel_kind,registry_type,flag,name,note
367588960,794,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367589050,2030,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367589290,710,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367590380,1,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367590560,1551,ship_untyped,untyped,vesselfinder_imo,registry,,1245528,ship,HSC,,MISS D,"VesselFinder: HSC (IMO 1245528, out of ontology)"
367590930,16,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367591810,1648,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367591890,410,,unknown,needs_manual,none,1,,ship,,,,type_outside_frozen_rules
367593750,46,cargo_coarse,coarse,coarse_type_code,coarse,79,,ship,,,,AIS type code 79 (coarse family only)
367595180,1231,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367595820,3,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367596840,18,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367596940,302,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367597230,174,,unknown,needs_manual,none,90,,ship,,,,coarse_type_only
367597240,440,,unknown,needs_manual,none,51,6046258,ship,,,,type_outside_frozen_rules
367597250,1235,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367597530,222,,unknown,needs_manual,none,,9648049,ship,,,,coarse_type_only
367597650,539,tanker_coarse,coarse,myshiptracking_label,coarse,80,,ship,,,,MyShipTracking label: Tanker
367598880,40,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367599850,1507,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367600750,943,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367601620,945,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367602350,85,,unknown,needs_manual,none,51,,ship,,,,coarse_type_only
367602380,1,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,absent_from_mapping
367602540,2,passenger_ship,fine,rule_validated,medium,60,,ship,,,,purity 0.917 support 1455
367602790,395,cargo_coarse,coarse,myshiptracking_label,coarse,70,,ship,,,,MyShipTracking label: Cargo
367603210,6624,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367603880,11,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,type_outside_frozen_rules
367604920,83,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367606280,136,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367609740,11,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,absent_from_mapping
367609770,133,,unknown,needs_manual,none,90,,ship,,,,coarse_type_only
367610550,789,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367612240,488,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367612490,7,cargo_coarse,coarse,coarse_type_code,coarse,70,,ship,,,,AIS type code 70 (coarse family only)
367613630,4,,unknown,needs_manual,none,90,,ship,,,,coarse_type_only
367613760,1042,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367613786,2,,unknown,needs_manual,none,,,ship,,,,absent_from_mapping
367613940,310,tug_towing,fine,rule_validated,medium,52,,ship,,,,purity 0.912 support 5136
367614560,28,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367614760,1,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,absent_from_mapping
367614880,927,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367614940,130,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367615130,581,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367615240,21,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367615770,92,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367615990,3754,,unknown,needs_manual,none,,,ship,,,,no_usable_type
367616040,2044,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367616090,184,passenger_ship,fine,rule_validated,medium,136;201;60;69,,ship,,,,purity 0.917 support 1455
367618670,714,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367618760,12,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367619480,4,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367619920,1354,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367620420,893,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367620730,1,,unknown,needs_manual,none,37,,ship,,,,absent_from_mapping
367621940,744,,unknown,needs_manual,none,90,,ship,,,,coarse_type_only
367622140,169,,unknown,needs_manual,none,,,ship,,,,no_usable_type
367622484,1,,unknown,needs_manual,none,,,ship,,,,absent_from_mapping
367622960,550,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367623730,9,passenger_ship,fine,rule_validated,medium,60,,ship,,,,purity 0.917 support 1455
367623770,12,,unknown,needs_manual,none,37,,ship,,,,coarse_type_only
367625590,49,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367625960,13,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367627750,29,,unknown,needs_manual,none,51,,ship,,,,coarse_type_only
367627770,332,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367627870,20,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367628230,91,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367628350,135,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367629590,493,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367633000,2,tanker_coarse,coarse,coarse_type_code,coarse,80,,ship,,,,AIS type code 80 (coarse family only)
367633070,1,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367634070,34,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367635270,5,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367635490,501,ship_untyped,fine,myshiptracking_label,medium,55,,ship,,,,MyShipTracking label: Law Enforcement
367635620,3,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367636930,649,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367637310,75,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367637730,35,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367637760,649,tug_towing,fine,rule_validated,medium,52,,ship,,,,purity 0.912 support 5136
367637970,53,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367638140,369,ship_untyped,fine,myshiptracking_label,medium,55,,ship,,,,MyShipTracking label: Law Enforcement
367638180,279,ship_untyped,fine,myshiptracking_label,medium,55,,ship,,,,MyShipTracking label: Law Enforcement
367638548,1,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367638690,46,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367638930,1,,unknown,needs_manual,none,55,,ship,,,,absent_from_mapping
367638940,217,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367638950,74,,unknown,needs_manual,none,,,ship,,,,no_usable_type
367638960,1,,unknown,needs_manual,none,55,,ship,,,,absent_from_mapping
367638970,89,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367638980,126,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367639060,14,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367639090,89,,unknown,needs_manual,none,55,,ship,,,,type_outside_frozen_rules
367639150,279,ship_untyped,fine,myshiptracking_label,medium,55,,ship,,,,MyShipTracking label: Law Enforcement
367639170,172,,unknown,needs_manual,none,55,,ship,,,,coarse_type_only
367640610,1298,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367641010,45,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367641460,2,tug_towing,fine,rule_validated,medium,31,,ship,,,,purity 0.906 support 763
367642110,44,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367643350,62,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367643583,8,,unknown,needs_manual,none,,,ship,,,,no_usable_type
367644790,917,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367645750,118,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367645910,77,,unknown,needs_manual,none,97,,ship,,,,coarse_type_only
367646220,40,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367646390,5,,unknown,needs_manual,none,96,,ship,,,,coarse_type_only
367647270,372,,unknown,needs_manual,none,39,8978174,ship,,,,type_outside_frozen_rules
367647650,908,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367648170,7,,unknown,needs_manual,none,,,ship,,,,coarse_type_only
367649360,1037,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367650190,926,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367651830,599,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,no_usable_type
367652120,68,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
