product_id,port,track,relative_orbit,start_utc,stop_utc,footprint_min_lon,footprint_min_lat,footprint_max_lon,footprint_max_lat,ais_files,ais_rows,ais_mmsi_unique,fine_resolved,fine_resolved_from_fill,fine_resolved_coarse,fine_unresolved,fine_conflict,worldcover_need,worldcover_have,raster_polarizations,raster_local_complete,raster_remote_22559_complete,raster_action,detection_status,knowledge_ready,blockers
S1A_IW_GRDH_1SDV_20250430T193336_20250430T193401_058990_0750DB_A785,Melbourne,,118,2025-04-30T19:33:36Z,2025-04-30T19:34:01Z,,,,,1,1118,113,95,5,6,5,7,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250501T142507_20250501T142532_059002_075153_F22D,Jebel Ali,,130,2025-05-01T14:25:07Z,2025-05-01T14:25:32Z,,,,,1,13933,1410,1031,6,89,288,2,2,2,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250502T015819_20250502T015848_059009_07518D_4FD7,Los Angeles,,137,2025-05-02T01:58:19Z,2025-05-02T01:58:48Z,,,,,2,7914,411,363,4,7,41,0,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250502T054131_20250502T054156_059011_07519F_6410,Hamburg,,139,2025-05-02T05:41:31Z,2025-05-02T05:41:56Z,,,,,1,17611,1876,1433,27,96,327,20,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250502T163006_20250502T163031_059017_0751E2_680E,Richards Bay,,145,2025-05-02T16:30:06Z,2025-05-02T16:30:31Z,,,,,4,1649,61,45,0,13,3,0,1,1,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map
S1A_IW_GRDH_1SDV_20250502T191539_20250502T191604_059019_0751F3_3649,Newcastle,147_701,147,2025-05-02T19:15:39Z,2025-05-02T19:16:04Z,,,,,1,2406,240,153,27,16,71,0,4,4,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250503T153906_20250503T153935_059031_075270_56B6,Mombasa,,159,2025-05-03T15:39:06Z,2025-05-03T15:39:35Z,,,,,3,5721,49,39,0,7,3,0,1,1,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250503T154858_20250503T154923_059032_075271_A73B,Port Said,160_97,160,2025-05-03T15:48:58Z,2025-05-03T15:49:23Z,,,,,1,870,185,161,1,19,5,0,2,2,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250503T213201_20250503T213230_059035_075299_4E85,Port Hedland,,163,2025-05-03T21:32:01Z,2025-05-03T21:32:30Z,,,,,1,1392,97,76,0,15,6,0,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250504T021546_20250504T021609_059038_0752B2_34DE,Jebel Ali,166_509,166,2025-05-04T02:15:46Z,2025-05-04T02:16:09Z,,,,,1,11183,1375,1038,5,85,252,0,2,2,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
