manifest,date,utm,epsg_raster,epsg_vector,tif_exists,n_points,inside_pct,time_match,sog_med,len_med,status
SAR_Ship_Chip_20220408_UTM17N_EPSG32617_10m.manifest.json,20220408,17,32617,32617,1,3,100.0,3/3,14.8,228.0,ok
SAR_Ship_Chip_20220408_UTM19N_EPSG32619_10m.manifest.json,20220408,19,32619,32619,1,6,100.0,6/6,4.7,183.0,ok
SAR_Ship_Chip_20220409_UTM04N_EPSG32604_10m.manifest.json,20220409,4,32604,32604,1,1,100.0,1/1,0.14,26.0,ok
SAR_Ship_Chip_20220409_UTM11N_EPSG32611_10m.manifest.json,20220409,11,32611,32611,1,18,100.0,18/18,13.44,214.0,ok
SAR_Ship_Chip_20220409_UTM18N_EPSG32618_10m.manifest.json,20220409,18,32618,32618,1,158,100.0,158/158,0.04,180.0,ok
SAR_Ship_Chip_20220409_UTM19N_EPSG32619_10m.manifest.json,20220409,19,32619,32619,1,24,100.0,24/24,12.59,165.0,ok
SAR_Ship_Chip_20220403_UTM17N_EPSG32617_10m.manifest.json,20220403,17,32617,32617,1,38,100.0,38/38,9.66,224.5,ok
SAR_Ship_Chip_20220404_UTM04N_EPSG32604_10m.manifest.json,20220404,4,32604,32604,1,24,100.0,24/24,0.0,78.0,ok
SAR_Ship_Chip_20220404_UTM18N_EPSG32618_10m.manifest.json,20220404,18,32618,32618,1,142,100.0,142/142,0.05,63.5,ok
SAR_Ship_Chip_20220404_UTM19N_EPSG32619_10m.manifest.json,20220404,19,32619,32619,1,11,100.0,11/11,8.93,183.0,ok
SAR_Ship_Chip_20220404_UTM20N_EPSG32620_10m.manifest.json,20220404,20,32620,32620,1,54,100.0,54/54,0.12,77.5,ok
SAR_Ship_Chip_20220405_UTM10N_EPSG32610_10m.manifest.json,20220405,10,32610,32610,1,301,100.0,301/301,0.0,176.0,ok
SAR_Ship_Chip_20220405_UTM15N_EPSG32615_10m.manifest.json,20220405,15,32615,32615,1,207,100.0,207/207,0.0,177.0,ok
SAR_Ship_Chip_20220405_UTM16N_EPSG32616_10m.manifest.json,20220405,16,32616,32616,1,9,100.0,9/9,0.0,200.0,ok
SAR_Ship_Chip_20220405_UTM17N_EPSG32617_10m.manifest.json,20220405,17,32617,32617,1,330,100.0,330/330,0.0,55.0,ok
SAR_Ship_Chip_20220406_UTM19N_EPSG32619_10m.manifest.json,20220406,19,32619,32619,1,33,100.0,33/33,0.05,65.0,ok
SAR_Ship_Chip_20220406_UTM20N_EPSG32620_10m.manifest.json,20220406,20,32620,32620,1,45,100.0,45/45,0.03,100.0,ok
SAR_Ship_Chip_20220407_UTM11N_EPSG32611_10m.manifest.json,20220407,11,32611,32611,1,159,100.0,159/159,0.0,200.0,ok
SAR_Ship_Chip_20220407_UTM15N_EPSG32615_10m.manifest.json,20220407,15,32615,32615,1,159,100.0,159/159,0.1,89.0,ok
SAR_Ship_Chip_20220407_UTM17N_EPSG32617_10m.manifest.json,20220407,17,32617,32617,1,40,100.0,40/40,1.29,200.5,ok
SAR_Ship_Chip_20220407_UTM18N_EPSG32618_10m.manifest.json,20220407,18,32618,32618,1,3,100.0,3/3,10.7,311.0,ok
SAR_Ship_Chip_20220408_UTM05N_EPSG32605_10m.manifest.json,20220408,5,32605,32605,1,2,100.0,2/2,8.24,36.5,ok
SAR_Ship_Chip_20220410_UTM09N_EPSG32609_10m.manifest.json,20220410,9,32609,32609,1,10,100.0,10/10,10.95,180.0,ok
SAR_Ship_Chip_20220410_UTM10N_EPSG32610_10m.manifest.json,20220410,10,32610,32610,1,83,100.0,83/83,0.09,183.0,ok
SAR_Ship_Chip_20220410_UTM14N_EPSG32614_10m.manifest.json,20220410,14,32614,32614,1,69,100.0,69/69,0.0,165.0,ok
SAR_Ship_Chip_20220410_UTM15N_EPSG32615_10m.manifest.json,20220410,15,32615,32615,1,1,100.0,1/1,13.1,182.0,ok
SAR_Ship_Chip_20220410_UTM16N_EPSG32616_10m.manifest.json,20220410,16,32616,32616,1,15,100.0,15/15,8.78,158.0,ok
SAR_Ship_Chip_20220410_UTM17N_EPSG32617_10m.manifest.json,20220410,17,32617,32617,1,37,100.0,37/37,0.0,148.0,ok
SAR_Ship_Chip_20220410_UTM18N_EPSG32618_10m.manifest.json,20220410,18,32618,32618,1,23,100.0,23/23,0.0,35.0,ok
