port,product,pol,objects,quark_file,quark_mb,quark_fid
New York,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE,VV,25,S1A_IW_GRDH_1SDV_20250211T225059_20250211T225124_057855_0722DE_45FE_VV_UTM_8bit.tif,378.0,1d98564730d440658434942a83d7cc08
New York,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529,VH,87,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529_VH_UTM_8bit.tif,388.0,067e9853c5ba4653b1e3dfee63933bdd
New York,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529,VV,79,S1A_IW_GRDH_1SDV_20251126T225109_20251126T225134_062055_07C38B_B529_VV_UTM_8bit.tif,411.4,744a397543434cf0ad27ce15274cecc4
Newcastle,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VH,61,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835_VH_UTM_8bit.tif,329.4,832d8313a17a46a08431c71cba090555
Newcastle,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835,VV,66,S1A_IW_GRDH_1SDV_20250121T190730_20250121T190755_057546_07169B_6835_VV_UTM_8bit.tif,438.0,b654d9fc449b4811b856336ae1c1ed7e
Newcastle,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,VH,16,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F_VH_UTM_8bit.tif,433.3,85ec00a14785437f9e10c05f14296416
Newcastle,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F,VV,27,S1A_IW_GRDH_1SDV_20250126T191540_20250126T191605_057619_07197E_F97F_VV_UTM_8bit.tif,485.9,21087d69e2df4e49b8d9d967989e499a
Newcastle,S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,VH,19,S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC_VH_UTM_8bit.tif,430.6,d175d65032b04db598d5132c56927510
Newcastle,S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC,VV,20,S1A_IW_GRDH_1SDV_20250219T191539_20250219T191604_057969_072771_AEEC_VV_UTM_8bit.tif,485.9,80678693cd734901a01dfbaf14610981
Newcastle,S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,VH,19,S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8_VH_UTM_8bit.tif,434.5,f619221a82bc4f61a24328474f08c280
Newcastle,S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8,VV,25,S1A_IW_GRDH_1SDV_20250315T191539_20250315T191604_058319_0735A5_19A8_VV_UTM_8bit.tif,481.0,65ab59d5a0a847ccadf7f57a91b4e921
Newcastle,S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0,VH,58,S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0_VH_UTM_8bit.tif,436.7,4049ede7ebd24a698aec0a5229de8461
Newcastle,S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0,VV,55,S1A_IW_GRDH_1SDV_20250514T191539_20250514T191604_059194_07585D_32C0_VV_UTM_8bit.tif,477.4,8c4fdce1689647c3aa92029bab9e1df2
Newcastle,S1A_IW_GRDH_1SDV_20250619T191537_20250619T191602_059719_076A71_A28F,VH,64,S1A_IW_GRDH_1SDV_20250619T191537_20250619T191602_059719_076A71_A28F_VH_UTM_8bit.tif,417.9,5eb3f6eeb05540d4a786222651666be4
Newcastle,S1A_IW_GRDH_1SDV_20250619T191537_20250619T191602_059719_076A71_A28F,VV,50,S1A_IW_GRDH_1SDV_20250619T191537_20250619T191602_059719_076A71_A28F_VV_UTM_8bit.tif,482.5,dc99de4149d9442f9a1729fad6d8d567
Newcastle,S1A_IW_GRDH_1SDV_20250806T191536_20250806T191601_060419_0782A5_AF18,VH,21,S1A_IW_GRDH_1SDV_20250806T191536_20250806T191601_060419_0782A5_AF18_VH_UTM_8bit.tif,426.4,92d034c16c4248e0913af87130460008
Newcastle,S1A_IW_GRDH_1SDV_20250806T191536_20250806T191601_060419_0782A5_AF18,VV,22,S1A_IW_GRDH_1SDV_20250806T191536_20250806T191601_060419_0782A5_AF18_VV_UTM_8bit.tif,484.2,0adbaaf729164e87822c8ee2ccb10fcd
Newcastle,S1A_IW_GRDH_1SDV_20251017T191537_20251017T191602_061469_07AC87_CC33,VH,35,S1A_IW_GRDH_1SDV_20251017T191537_20251017T191602_061469_07AC87_CC33_VH_UTM_8bit.tif,437.1,965a9ffd2f6942fd82c5819f057522bc
Newcastle,S1A_IW_GRDH_1SDV_20251017T191537_20251017T191602_061469_07AC87_CC33,VV,30,S1A_IW_GRDH_1SDV_20251017T191537_20251017T191602_061469_07AC87_CC33_VV_UTM_8bit.tif,482.0,a852bed71d8c46b488f1ffa1adc4cbb4
Newcastle,S1A_IW_GRDH_1SDV_20251029T191536_20251029T191601_061644_07B393_8142,VH,18,S1A_IW_GRDH_1SDV_20251029T191536_20251029T191601_061644_07B393_8142_VH_UTM_8bit.tif,440.2,bc18f6ccdc3144e88e1acdfc84ee0c7f
Newcastle,S1A_IW_GRDH_1SDV_20251029T191536_20251029T191601_061644_07B393_8142,VV,20,S1A_IW_GRDH_1SDV_20251029T191536_20251029T191601_061644_07B393_8142_VV_UTM_8bit.tif,480.0,b971ee3b75304f7b8d1dd56f3dedd11f
Newcastle,S1A_IW_GRDH_1SDV_20251110T191536_20251110T191601_061819_07BA62_4077,VH,60,S1A_IW_GRDH_1SDV_20251110T191536_20251110T191601_061819_07BA62_4077_VH_UTM_8bit.tif,421.3,a4cdcd253b984dbd8f6484bec3d5be08
Newcastle,S1A_IW_GRDH_1SDV_20251110T191536_20251110T191601_061819_07BA62_4077,VV,63,S1A_IW_GRDH_1SDV_20251110T191536_20251110T191601_061819_07BA62_4077_VV_UTM_8bit.tif,484.0,13d5ab506b054feeabbefd06841b1a5c
Newcastle,S1A_IW_GRDH_1SDV_20251204T191534_20251204T191559_062169_07C80B_6F85,VH,18,S1A_IW_GRDH_1SDV_20251204T191534_20251204T191559_062169_07C80B_6F85_VH_UTM_8bit.tif,424.8,80c1d8d505f94435b90054aaa36e8759
Newcastle,S1A_IW_GRDH_1SDV_20251204T191534_20251204T191559_062169_07C80B_6F85,VV,20,S1A_IW_GRDH_1SDV_20251204T191534_20251204T191559_062169_07C80B_6F85_VV_UTM_8bit.tif,480.4,23131d37854c462cbc3dd7092f815ff7
Newcastle,S1C_IW_GRDH_1SDV_20250813T062133_20250813T062158_003650_0074D4_BCC0,VH,41,S1C_IW_GRDH_1SDV_20250813T062133_20250813T062158_003650_0074D4_BCC0_VH_UTM_8bit.tif,367.2,1851e3ad9429474f845b984d2127c7d5
Newcastle,S1C_IW_GRDH_1SDV_20250813T062133_20250813T062158_003650_0074D4_BCC0,VV,54,S1C_IW_GRDH_1SDV_20250813T062133_20250813T062158_003650_0074D4_BCC0_VV_UTM_8bit.tif,457.3,e4719667035c40bb83ddf617263c44ed
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20250703T095436_20250703T095501_059918_07715F_4982,VH,1017,S1A_IW_GRDH_1SDV_20250703T095436_20250703T095501_059918_07715F_4982_VH_UTM_8bit.tif,360.3,657b11d9a1e343b49708bd314c634152
Ningbo-Zhoushan,S1A_IW_GRDH_1SDV_20250703T095436_20250703T095501_059918_07715F_4982,VV,1102,S1A_IW_GRDH_1SDV_20250703T095436_20250703T095501_059918_07715F_4982_VV_UTM_8bit.tif,378.4,de485b0d85a345138393475f2a5603a2
