port,class,class_name,n,ridge_V,ridge_VK,gbm_zk,gate_old,gate_new,gate_new_theta,oracle3
Jebel Ali,7,offshore_supply,506,0.3201581027667984,0.40118577075098816,0.029644268774703556,0.21936758893280633,0.03557312252964427,0.308300395256917,0.4762845849802372
Los Angeles,0,bulk_carrier,92,0.17391304347826086,0.34782608695652173,0.967391304347826,0.967391304347826,0.967391304347826,0.9565217391304348,0.967391304347826
Los Angeles,1,fishing_vessel,20,0.9,0.9,0.75,0.8,0.9,0.9,0.9
Los Angeles,2,general_cargo,36,0.1111111111111111,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.19444444444444445
Los Angeles,3,product_chem_tanker,97,0.38144329896907214,0.3402061855670103,0.3402061855670103,0.3711340206185567,0.27835051546391754,0.28865979381443296,0.5567010309278351
Los Angeles,4,container_ship,65,0.6153846153846154,0.6307692307692307,0.36923076923076925,0.4153846153846154,0.36923076923076925,0.5230769230769231,0.7076923076923077
Los Angeles,5,crude_oil_tanker,215,0.6232558139534884,0.586046511627907,0.10232558139534884,0.22790697674418606,0.16744186046511628,0.4,0.6465116279069767
Los Angeles,6,tug_towing,41,0.04878048780487805,0.04878048780487805,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0975609756097561
Los Angeles,7,offshore_supply,17,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
Melbourne,0,bulk_carrier,43,0.4186046511627907,0.5348837209302325,0.8837209302325582,0.5116279069767442,0.7674418604651163,0.7674418604651163,0.9534883720930233
Melbourne,1,fishing_vessel,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Melbourne,2,general_cargo,19,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.3684210526315789,0.3684210526315789,0.3684210526315789
Mombasa,0,bulk_carrier,82,0.3902439024390244,0.5853658536585366,0.9146341463414634,0.4634146341463415,0.8170731707317073,0.8292682926829268,0.9634146341463414
Mombasa,1,fishing_vessel,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mombasa,2,general_cargo,42,0.42857142857142855,0.47619047619047616,0.30952380952380953,0.42857142857142855,0.5952380952380952,0.5714285714285714,0.5952380952380952
Mombasa,3,product_chem_tanker,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Mombasa,4,container_ship,17,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.17647058823529413
Mombasa,5,crude_oil_tanker,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Mombasa,6,tug_towing,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York,0,bulk_carrier,30,0.3,0.2,0.9666666666666667,0.7666666666666667,0.9333333333333333,0.9666666666666667,1.0
New York,1,fishing_vessel,64,0.96875,0.90625,0.953125,0.953125,0.984375,0.984375,0.984375
New York,2,general_cargo,36,0.3055555555555556,0.3055555555555556,0.3611111111111111,0.3333333333333333,0.3055555555555556,0.19444444444444445,0.5277777777777778
New York,3,product_chem_tanker,56,0.2857142857142857,0.14285714285714285,0.39285714285714285,0.3392857142857143,0.32142857142857145,0.21428571428571427,0.5535714285714286
New York,4,container_ship,48,0.5833333333333334,0.4791666666666667,0.4166666666666667,0.4583333333333333,0.3958333333333333,0.4583333333333333,0.6666666666666666
New York,5,crude_oil_tanker,33,0.7272727272727273,0.6060606060606061,0.36363636363636365,0.5454545454545454,0.48484848484848486,0.5454545454545454,0.7272727272727273
New York,6,tug_towing,197,0.116751269035533,0.4263959390862944,0.0,0.09137055837563451,0.02030456852791878,0.20812182741116753,0.4467005076142132
New York,7,offshore_supply,6,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
Newcastle,0,bulk_carrier,190,0.32105263157894737,0.4052631578947368,0.4789473684210526,0.39473684210526316,0.5526315789473685,0.4789473684210526,0.6
Newcastle,1,fishing_vessel,20,0.75,0.75,0.7,0.75,0.75,0.75,0.8
Newcastle,2,general_cargo,51,0.49019607843137253,0.27450980392156865,0.39215686274509803,0.37254901960784315,0.5098039215686274,0.29411764705882354,0.6078431372549019
Newcastle,3,product_chem_tanker,5,0.2,0.2,0.8,0.2,0.6,0.2,0.8
Newcastle,4,container_ship,13,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.46153846153846156
Newcastle,5,crude_oil_tanker,3,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
Newcastle,6,tug_towing,17,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941
Ningbo-Zhoushan,0,bulk_carrier,973,0.42857142857142855,0.590955806783145,0.9856115107913669,0.986639260020555,0.9856115107913669,0.9856115107913669,0.986639260020555
Ningbo-Zhoushan,1,fishing_vessel,4529,0.9006403179509825,0.9092514903952308,0.8405829101346876,0.8831971737690439,0.8573636564362994,0.8553764627953191,0.9355266063148598
Ningbo-Zhoushan,2,general_cargo,254,0.3779527559055118,0.46062992125984253,0.6417322834645669,0.6181102362204725,0.7165354330708661,0.7165354330708661,0.7204724409448819
